Month,Date,Investment,Portfolio_Value,Bank,Equity,Holdings
Jul 2014,2014-07-01,1000.0,1000.0,11000.0,12000.0,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 0.459719}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.381028}, {'Ticker': 'NAUKRI.NS', 'Quantity': 1.23585}, {'Ticker': 'KKCL.NS', 'Quantity': 0.494457}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}]"
Aug 2014,2014-08-01,1000.0,2070.29,10000.0,12070.29,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 0.900633}, {'Ticker': 'ATUL.NS', 'Quantity': 0.330196}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.754262}, {'Ticker': 'NAUKRI.NS', 'Quantity': 2.431965}, {'Ticker': 'KKCL.NS', 'Quantity': 0.980153}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 2.021918}]"
Sep 2014,2014-09-01,1000.0,3171.96,9000.0,12171.96,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 1.362985}, {'Ticker': 'ATUL.NS', 'Quantity': 0.452592}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.138311}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 2.021918}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.401631}]"
Oct 2014,2014-10-01,1000.0,4438.71,8000.0,12438.71,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 1.793566}, {'Ticker': 'ATUL.NS', 'Quantity': 0.452592}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.499186}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.371008}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.778491}, {'Ticker': 'ASTRAL.NS', 'Quantity': 0.929644}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 0.586923}]"
Nov 2014,2014-11-03,1000.0,5439.13,7000.0,12439.13,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 1.793566}, {'Ticker': 'ATUL.NS', 'Quantity': 0.577995}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.826754}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 4.734893}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.143948}, {'Ticker': 'ASTRAL.NS', 'Quantity': 1.972794}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.122255}]"
Dec 2014,2014-12-01,1000.0,6876.97,6000.0,12876.97,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 2.343662}, {'Ticker': 'ATUL.NS', 'Quantity': 0.577995}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.086117}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 6.132517}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.443453}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.806023}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.548077}]"
Jan 2015,2015-01-01,1000.0,7926.43,5000.0,12926.43,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 2.894205}, {'Ticker': 'ATUL.NS', 'Quantity': 0.577995}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.351161}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 6.132517}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.734446}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.806023}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 1.908385}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}]"
Feb 2015,2015-02-02,1000.0,9087.71,4000.0,13087.71,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 3.419293}, {'Ticker': 'ATUL.NS', 'Quantity': 0.577995}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.597268}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 6.132517}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 2.028236}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.806023}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 2.245449}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}, {'Ticker': 'IGL.NS', 'Quantity': 7.283375}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 1.255887}]"
Mar 2015,2015-03-02,1000.0,10457.55,3000.0,13457.55,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 3.419293}, {'Ticker': 'ATUL.NS', 'Quantity': 0.577995}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.81032}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 7.287678}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 2.028236}, {'Ticker': 'ASTRAL.NS', 'Quantity': 3.648731}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 2.58395}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}, {'Ticker': 'IGL.NS', 'Quantity': 7.283375}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 2.508123}, {'Ticker': 'GSPL.NS', 'Quantity': 1.428776}]"
Apr 2015,2015-04-01,1000.0,11635.64,2000.0,13635.64,"[{'Ticker': 'BALKRISIND.NS', 'Quantity': 3.419293}, {'Ticker': 'ATUL.NS', 'Quantity': 0.722539}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.81032}, {'Ticker': 'NAUKRI.NS', 'Quantity': 3.558928}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'WIPRO.NS', 'Quantity': 1.651596}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 8.514702}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 2.307059}, {'Ticker': 'ASTRAL.NS', 'Quantity': 3.648731}, {'Ticker': 'RATNAMANI.NS', 'Quantity': 2.944492}, {'Ticker': 'KSCL.NS', 'Quantity': 0.21347}, {'Ticker': 'IGL.NS', 'Quantity': 7.283375}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 2.508123}, {'Ticker': 'GSPL.NS', 'Quantity': 1.428776}, {'Ticker': 'ZYDUSWELL.NS', 'Quantity': 0.816113}, {'Ticker': 'INFY.NS', 'Quantity': 0.306661}]"
