Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1019.8,11000.0,12019.8
2014-07-03,1042.24,11000.0,12042.24
2014-07-04,1058.5,11000.0,12058.5
2014-07-07,1063.34,11000.0,12063.34
2014-07-08,1028.4,11000.0,12028.4
2014-07-09,1023.29,11000.0,12023.29
2014-07-10,1019.16,11000.0,12019.16
2014-07-11,1010.32,11000.0,12010.32
2014-07-14,1018.29,11000.0,12018.29
2014-07-15,1034.46,11000.0,12034.46
2014-07-16,1038.86,11000.0,12038.86
2014-07-17,1061.21,11000.0,12061.21
2014-07-18,1057.22,11000.0,12057.22
2014-07-21,1064.13,11000.0,12064.13
2014-07-22,1075.8,11000.0,12075.8
2014-07-23,1111.33,11000.0,12111.33
2014-07-24,1131.23,11000.0,12131.23
2014-07-25,1100.39,11000.0,12100.39
2014-07-28,1074.09,11000.0,12074.09
2014-07-30,1084.16,11000.0,12084.16
2014-07-31,1083.11,11000.0,12083.11
2014-08-01,2062.22,10000.0,12062.22
2014-08-04,2089.03,10000.0,12089.03
2014-08-05,2128.71,10000.0,12128.71
2014-08-06,2126.6,10000.0,12126.6
2014-08-07,2128.28,10000.0,12128.28
2014-08-08,2102.49,10000.0,12102.49
2014-08-11,2113.02,10000.0,12113.02
2014-08-12,2127.89,10000.0,12127.89
2014-08-13,2116.41,10000.0,12116.41
2014-08-14,2135.31,10000.0,12135.31
2014-08-18,2178.27,10000.0,12178.27
2014-08-19,2242.17,10000.0,12242.17
2014-08-20,2287.49,10000.0,12287.49
2014-08-21,2306.89,10000.0,12306.89
2014-08-22,2303.04,10000.0,12303.04
2014-08-25,2317.27,10000.0,12317.27
2014-08-26,2359.43,10000.0,12359.43
2014-08-27,2423.25,10000.0,12423.25
2014-08-28,2398.9,10000.0,12398.9
2014-09-01,3393.21,9000.0,12393.21
2014-09-02,3404.66,9000.0,12404.66
2014-09-03,3449.22,9000.0,12449.22
2014-09-04,3463.7,9000.0,12463.7
2014-09-05,3450.64,9000.0,12450.64
2014-09-08,3539.91,9000.0,12539.91
2014-09-09,3568.54,9000.0,12568.54
2014-09-10,3568.11,9000.0,12568.11
2014-09-11,3606.32,9000.0,12606.32
2014-09-12,3634.71,9000.0,12634.71
2014-09-15,3608.59,9000.0,12608.59
2014-09-16,3496.15,9000.0,12496.15
2014-09-17,3516.85,9000.0,12516.85
2014-09-18,3571.49,9000.0,12571.49
2014-09-19,3600.71,9000.0,12600.71
2014-09-22,3610.63,9000.0,12610.63
2014-09-23,3551.88,9000.0,12551.88
2014-09-24,3504.12,9000.0,12504.12
2014-09-25,3444.89,9000.0,12444.89
2014-09-26,3459.72,9000.0,12459.72
2014-09-29,3508.08,9000.0,12508.08
2014-09-30,3564.19,9000.0,12564.19
2014-10-01,4578.48,8000.0,12578.48
2014-10-07,4552.43,8000.0,12552.43
2014-10-08,4547.62,8000.0,12547.62
2014-10-09,4607.8,8000.0,12607.8
2014-10-10,4523.85,8000.0,12523.85
2014-10-13,4499.39,8000.0,12499.39
2014-10-14,4482.16,8000.0,12482.16
2014-10-16,4378.38,8000.0,12378.38
2014-10-17,4320.38,8000.0,12320.38
2014-10-20,4364.08,8000.0,12364.08
2014-10-21,4424.0,8000.0,12424.0
2014-10-22,4465.45,8000.0,12465.45
2014-10-23,4465.45,8000.0,12465.45
2014-10-27,4521.94,8000.0,12521.94
2014-10-28,4518.28,8000.0,12518.28
2014-10-29,4550.21,8000.0,12550.21
2014-10-30,4608.67,8000.0,12608.67
2014-10-31,4644.6,8000.0,12644.6
2014-11-03,5647.67,7000.0,12647.67
2014-11-05,5687.35,7000.0,12687.35
2014-11-07,5706.92,7000.0,12706.92
2014-11-10,5728.06,7000.0,12728.06
2014-11-11,5761.39,7000.0,12761.39
2014-11-12,5806.14,7000.0,12806.14
2014-11-13,5750.33,7000.0,12750.33
2014-11-14,5770.08,7000.0,12770.08
2014-11-17,5896.12,7000.0,12896.12
2014-11-18,5859.45,7000.0,12859.45
2014-11-19,5873.3,7000.0,12873.3
2014-11-20,5923.86,7000.0,12923.86
2014-11-21,5899.16,7000.0,12899.16
2014-11-24,5879.7,7000.0,12879.7
2014-11-25,5780.28,7000.0,12780.28
2014-11-26,5798.11,7000.0,12798.11
2014-11-27,5848.21,7000.0,12848.21
2014-11-28,5919.66,7000.0,12919.66
2014-12-01,6984.97,6000.0,12984.97
2014-12-02,7015.88,6000.0,13015.88
2014-12-03,7032.95,6000.0,13032.95
2014-12-04,7060.69,6000.0,13060.69
2014-12-05,7033.0,6000.0,13033.0
2014-12-08,6998.6,6000.0,12998.6
2014-12-09,6961.93,6000.0,12961.93
2014-12-10,6899.96,6000.0,12899.96
2014-12-11,6866.18,6000.0,12866.18
2014-12-12,6790.15,6000.0,12790.15
2014-12-15,6804.35,6000.0,12804.35
2014-12-16,6591.86,6000.0,12591.86
2014-12-17,6542.28,6000.0,12542.28
2014-12-18,6699.19,6000.0,12699.19
2014-12-19,6765.24,6000.0,12765.24
2014-12-22,6767.36,6000.0,12767.36
2014-12-23,6845.57,6000.0,12845.57
2014-12-24,6804.79,6000.0,12804.79
2014-12-26,6838.68,6000.0,12838.68
2014-12-29,6875.29,6000.0,12875.29
2014-12-30,6864.19,6000.0,12864.19
2014-12-31,6888.91,6000.0,12888.91
2015-01-01,7913.78,5000.0,12913.78
2015-01-02,8006.58,5000.0,13006.58
2015-01-05,8020.02,5000.0,13020.02
2015-01-06,7806.64,5000.0,12806.64
2015-01-07,7868.24,5000.0,12868.24
2015-01-08,7989.54,5000.0,12989.54
2015-01-09,8049.61,5000.0,13049.61
2015-01-12,8058.69,5000.0,13058.69
2015-01-13,8104.04,5000.0,13104.04
2015-01-14,8293.23,5000.0,13293.23
2015-01-15,8390.26,5000.0,13390.26
2015-01-16,8449.78,5000.0,13449.78
2015-01-19,8455.34,5000.0,13455.34
2015-01-20,8494.5,5000.0,13494.5
2015-01-21,8521.45,5000.0,13521.45
2015-01-22,8552.4,5000.0,13552.4
2015-01-23,8517.99,5000.0,13517.99
2015-01-27,8684.68,5000.0,13684.68
2015-01-28,8839.0,5000.0,13839.0
2015-01-29,8791.22,5000.0,13791.22
2015-01-30,8670.01,5000.0,13670.01
2015-02-02,9691.69,4000.0,13691.69
2015-02-03,9769.51,4000.0,13769.51
2015-02-04,9679.6,4000.0,13679.6
2015-02-05,9702.89,4000.0,13702.89
2015-02-06,9603.67,4000.0,13603.67
2015-02-09,9512.71,4000.0,13512.71
2015-02-10,9577.09,4000.0,13577.09
2015-02-11,9740.47,4000.0,13740.47
2015-02-12,9858.21,4000.0,13858.21
2015-02-13,9968.1,4000.0,13968.1
2015-02-16,9998.06,4000.0,13998.06
2015-02-18,10033.66,4000.0,14033.66
2015-02-19,10002.08,4000.0,14002.08
2015-02-20,9965.88,4000.0,13965.88
2015-02-23,9919.4,4000.0,13919.4
2015-02-24,9943.92,4000.0,13943.92
2015-02-25,9942.13,4000.0,13942.13
2015-02-26,9843.17,4000.0,13843.17
2015-02-27,9983.37,4000.0,13983.37
2015-03-02,11197.09,3000.0,14197.09
2015-03-03,11306.56,3000.0,14306.56
2015-03-04,11185.21,3000.0,14185.21
2015-03-05,11192.68,3000.0,14192.68
2015-03-09,11049.53,3000.0,14049.53
2015-03-10,11096.86,3000.0,14096.86
2015-03-11,11022.52,3000.0,14022.52
2015-03-12,11191.04,3000.0,14191.04
2015-03-13,11114.42,3000.0,14114.42
2015-03-16,11010.82,3000.0,14010.82
2015-03-17,11116.64,3000.0,14116.64
2015-03-18,11150.36,3000.0,14150.36
2015-03-19,11117.55,3000.0,14117.55
2015-03-20,10910.11,3000.0,13910.11
2015-03-23,10939.33,3000.0,13939.33
2015-03-24,10812.45,3000.0,13812.45
2015-03-25,10760.61,3000.0,13760.61
2015-03-26,10749.9,3000.0,13749.9
2015-03-27,10726.78,3000.0,13726.78
2015-03-30,11040.4,3000.0,14040.4
2015-03-31,11218.76,3000.0,14218.76
2015-04-01,12277.37,2000.0,14277.37
2015-04-06,12373.41,2000.0,14373.41
2015-04-07,12525.72,2000.0,14525.72
2015-04-08,12719.6,2000.0,14719.6
2015-04-09,12868.05,2000.0,14868.05
2015-04-10,12879.57,2000.0,14879.57
2015-04-13,12873.15,2000.0,14873.15
2015-04-15,12920.64,2000.0,14920.64
2015-04-16,12916.32,2000.0,14916.32
2015-04-17,12772.32,2000.0,14772.32
2015-04-20,12705.74,2000.0,14705.74
2015-04-21,12538.33,2000.0,14538.33
2015-04-22,12469.23,2000.0,14469.23
2015-04-23,12493.17,2000.0,14493.17
2015-04-24,12130.33,2000.0,14130.33
2015-04-27,11746.2,2000.0,13746.2
2015-04-28,11890.15,2000.0,13890.15
2015-04-29,12044.43,2000.0,14044.43
2015-04-30,12003.24,2000.0,14003.24
2015-05-04,13336.15,1000.0,14336.15
2015-05-05,13373.9,1000.0,14373.9
2015-05-06,13029.56,1000.0,14029.56
2015-05-07,12763.03,1000.0,13763.03
2015-05-08,12990.32,1000.0,13990.32
2015-05-11,13207.43,1000.0,14207.43
2015-05-12,13078.45,1000.0,14078.45
2015-05-13,13028.91,1000.0,14028.91
2015-05-14,13092.73,1000.0,14092.73
2015-05-15,13200.74,1000.0,14200.74
2015-05-18,13314.56,1000.0,14314.56
2015-05-19,13338.04,1000.0,14338.04
2015-05-20,13388.11,1000.0,14388.11
2015-05-21,13399.68,1000.0,14399.68
2015-05-22,13361.01,1000.0,14361.01
2015-05-25,13272.57,1000.0,14272.57
2015-05-26,13345.81,1000.0,14345.81
2015-05-27,13291.35,1000.0,14291.35
2015-05-28,13306.84,1000.0,14306.84
2015-05-29,13248.11,1000.0,14248.11
2015-06-01,14418.5,0.0,14418.5
2015-06-02,14231.09,0.0,14231.09
2015-06-03,14141.67,0.0,14141.67
2015-06-04,14260.93,0.0,14260.93
2015-06-05,14420.27,0.0,14420.27
2015-06-08,14223.12,0.0,14223.12
2015-06-09,14264.62,0.0,14264.62
2015-06-10,14395.39,0.0,14395.39
2015-06-11,14246.37,0.0,14246.37
2015-06-12,14167.63,0.0,14167.63
2015-06-15,14213.62,0.0,14213.62
2015-06-16,14240.25,0.0,14240.25
2015-06-17,14389.35,0.0,14389.35
2015-06-18,14628.58,0.0,14628.58
2015-06-19,14826.33,0.0,14826.33
2015-06-22,15148.97,0.0,15148.97
2015-06-23,15270.61,0.0,15270.61
2015-06-24,15143.58,0.0,15143.58
2015-06-25,15222.43,0.0,15222.43
2015-06-26,15391.9,0.0,15391.9
2015-06-29,15234.44,0.0,15234.44
2015-06-30,15388.19,0.0,15388.19
2015-07-01,15538.33,0.0,15538.33
2015-07-02,15551.83,0.0,15551.83
2015-07-03,15653.06,0.0,15653.06
2015-07-06,15798.46,0.0,15798.46
2015-07-07,15928.52,0.0,15928.52
2015-07-08,15548.25,0.0,15548.25
2015-07-09,15466.98,0.0,15466.98
2015-07-10,15708.42,0.0,15708.42
2015-07-13,15779.15,0.0,15779.15
2015-07-14,15846.16,0.0,15846.16
2015-07-15,15965.83,0.0,15965.83
2015-07-16,16095.12,0.0,16095.12
2015-07-17,16156.83,0.0,16156.83
2015-07-20,16174.79,0.0,16174.79
2015-07-21,16102.33,0.0,16102.33
2015-07-22,16201.36,0.0,16201.36
2015-07-23,16309.15,0.0,16309.15
2015-07-24,16130.87,0.0,16130.87
2015-07-27,16012.84,0.0,16012.84
2015-07-28,16049.68,0.0,16049.68
2015-07-29,16109.06,0.0,16109.06
2015-07-30,16213.37,0.0,16213.37
2015-07-31,16352.88,0.0,16352.88
2015-08-03,16389.16,0.0,16389.16
2015-08-04,16408.25,0.0,16408.25
2015-08-05,16427.19,0.0,16427.19
2015-08-06,16509.35,0.0,16509.35
2015-08-07,16648.06,0.0,16648.06
2015-08-10,16697.28,0.0,16697.28
2015-08-11,16570.41,0.0,16570.41
2015-08-12,16162.59,0.0,16162.59
2015-08-13,16147.95,0.0,16147.95
2015-08-14,16286.61,0.0,16286.61
2015-08-17,16420.51,0.0,16420.51
2015-08-18,16518.23,0.0,16518.23
2015-08-19,16625.17,0.0,16625.17
2015-08-20,16331.25,0.0,16331.25
2015-08-21,16339.36,0.0,16339.36
2015-08-24,15099.94,0.0,15099.94
2015-08-25,15362.9,0.0,15362.9
2015-08-26,15390.58,0.0,15390.58
2015-08-27,15705.95,0.0,15705.95
2015-08-28,15714.68,0.0,15714.68
2015-08-31,15801.45,0.0,15801.45
2015-09-01,15536.97,0.0,15536.97
2015-09-02,15463.64,0.0,15463.64
2015-09-03,15747.67,0.0,15747.67
2015-09-04,15498.63,0.0,15498.63
2015-09-07,15410.43,0.0,15410.43
2015-09-08,15396.25,0.0,15396.25
2015-09-09,15556.85,0.0,15556.85
2015-09-10,15802.64,0.0,15802.64
2015-09-11,15877.05,0.0,15877.05
2015-09-14,16005.67,0.0,16005.67
2015-09-15,16053.71,0.0,16053.71
2015-09-16,16145.62,0.0,16145.62
2015-09-18,16242.43,0.0,16242.43
2015-09-21,16440.79,0.0,16440.79
2015-09-22,16278.87,0.0,16278.87
2015-09-23,16289.77,0.0,16289.77
2015-09-24,16580.38,0.0,16580.38
2015-09-28,16657.59,0.0,16657.59
2015-09-29,16954.33,0.0,16954.33
2015-09-30,17234.28,0.0,17234.28
2015-10-01,17223.55,0.0,17223.55
2015-10-05,17447.06,0.0,17447.06
2015-10-06,17539.4,0.0,17539.4
2015-10-07,17421.43,0.0,17421.43
2015-10-08,17267.35,0.0,17267.35
2015-10-09,17199.12,0.0,17199.12
2015-10-12,17163.53,0.0,17163.53
2015-10-13,17207.2,0.0,17207.2
2015-10-14,17215.0,0.0,17215.0
2015-10-15,17369.3,0.0,17369.3
2015-10-16,17377.75,0.0,17377.75
2015-10-19,17487.53,0.0,17487.53
2015-10-20,17715.98,0.0,17715.98
2015-10-21,17649.67,0.0,17649.67
2015-10-23,17549.95,0.0,17549.95
2015-10-26,17547.83,0.0,17547.83
2015-10-27,17623.76,0.0,17623.76
2015-10-28,17580.59,0.0,17580.59
2015-10-29,17470.27,0.0,17470.27
2015-10-30,17521.73,0.0,17521.73
2015-11-02,17477.0,0.0,17477.0
2015-11-03,17805.61,0.0,17805.61
2015-11-04,17877.21,0.0,17877.21
2015-11-05,17594.15,0.0,17594.15
2015-11-06,17580.94,0.0,17580.94
2015-11-09,17770.12,0.0,17770.12
2015-11-10,17518.26,0.0,17518.26
2015-11-11,17518.26,0.0,17518.26
2015-11-13,17511.78,0.0,17511.78
2015-11-16,17548.36,0.0,17548.36
2015-11-17,17507.34,0.0,17507.34
2015-11-18,17415.79,0.0,17415.79
2015-11-19,17701.19,0.0,17701.19
2015-11-20,17997.8,0.0,17997.8
2015-11-23,18055.26,0.0,18055.26
2015-11-24,18061.74,0.0,18061.74
2015-11-26,18034.82,0.0,18034.82
2015-11-27,18090.69,0.0,18090.69
2015-11-30,18002.36,0.0,18002.36
2015-12-01,18131.14,0.0,18131.14
2015-12-02,18133.4,0.0,18133.4
2015-12-03,18042.94,0.0,18042.94
2015-12-04,17906.84,0.0,17906.84
2015-12-07,18014.46,0.0,18014.46
2015-12-08,17956.79,0.0,17956.79
2015-12-09,17710.8,0.0,17710.8
2015-12-10,17856.55,0.0,17856.55
2015-12-11,17793.11,0.0,17793.11
2015-12-14,17714.8,0.0,17714.8
2015-12-15,18030.41,0.0,18030.41
2015-12-16,17998.07,0.0,17998.07
2015-12-17,18327.16,0.0,18327.16
2015-12-18,18482.05,0.0,18482.05
2015-12-21,18511.43,0.0,18511.43
2015-12-22,18569.78,0.0,18569.78
2015-12-23,18761.62,0.0,18761.62
2015-12-24,18842.05,0.0,18842.05
2015-12-28,18883.89,0.0,18883.89
2015-12-29,18883.14,0.0,18883.14
2015-12-30,18834.44,0.0,18834.44
2015-12-31,18891.69,0.0,18891.69
2016-01-01,19105.53,0.0,19105.53
