Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1008.48,11000.0,12008.48
2014-07-03,1010.44,11000.0,12010.44
2014-07-04,1012.04,11000.0,12012.04
2014-07-07,1019.84,11000.0,12019.84
2014-07-08,998.66,11000.0,11998.66
2014-07-09,988.74,11000.0,11988.74
2014-07-10,989.17,11000.0,11989.17
2014-07-11,980.32,11000.0,11980.32
2014-07-14,974.05,11000.0,11974.05
2014-07-15,988.87,11000.0,11988.87
2014-07-16,998.39,11000.0,11998.39
2014-07-17,1020.91,11000.0,12020.91
2014-07-18,1015.82,11000.0,12015.82
2014-07-21,1019.57,11000.0,12019.57
2014-07-22,1028.6,11000.0,12028.6
2014-07-23,1055.91,11000.0,12055.91
2014-07-24,1067.19,11000.0,12067.19
2014-07-25,1048.43,11000.0,12048.43
2014-07-28,1039.05,11000.0,12039.05
2014-07-30,1051.2,11000.0,12051.2
2014-07-31,1053.36,11000.0,12053.36
2014-08-01,2044.56,10000.0,12044.56
2014-08-04,2067.05,10000.0,12067.05
2014-08-05,2081.23,10000.0,12081.23
2014-08-06,2075.94,10000.0,12075.94
2014-08-07,2070.29,10000.0,12070.29
2014-08-08,2032.11,10000.0,12032.11
2014-08-11,2060.57,10000.0,12060.57
2014-08-12,2062.77,10000.0,12062.77
2014-08-13,2028.39,10000.0,12028.39
2014-08-14,2054.39,10000.0,12054.39
2014-08-18,2085.49,10000.0,12085.49
2014-08-19,2118.72,10000.0,12118.72
2014-08-20,2147.78,10000.0,12147.78
2014-08-21,2165.93,10000.0,12165.93
2014-08-22,2154.11,10000.0,12154.11
2014-08-25,2160.34,10000.0,12160.34
2014-08-26,2160.26,10000.0,12160.26
2014-08-27,2188.15,10000.0,12188.15
2014-08-28,2193.23,10000.0,12193.23
2014-09-01,3220.49,9000.0,12220.49
2014-09-02,3245.5,9000.0,12245.5
2014-09-03,3267.5,9000.0,12267.5
2014-09-04,3296.82,9000.0,12296.82
2014-09-05,3304.24,9000.0,12304.24
2014-09-08,3335.05,9000.0,12335.05
2014-09-09,3354.93,9000.0,12354.93
2014-09-10,3342.01,9000.0,12342.01
2014-09-11,3370.23,9000.0,12370.23
2014-09-12,3405.5,9000.0,12405.5
2014-09-15,3438.64,9000.0,12438.64
2014-09-16,3321.26,9000.0,12321.26
2014-09-17,3318.28,9000.0,12318.28
2014-09-18,3373.8,9000.0,12373.8
2014-09-19,3410.61,9000.0,12410.61
2014-09-22,3424.56,9000.0,12424.56
2014-09-23,3365.36,9000.0,12365.36
2014-09-24,3349.91,9000.0,12349.91
2014-09-25,3299.33,9000.0,12299.33
2014-09-26,3300.33,9000.0,12300.33
2014-09-29,3340.07,9000.0,12340.07
2014-09-30,3361.82,9000.0,12361.82
2014-10-01,4381.84,8000.0,12381.84
2014-10-07,4375.88,8000.0,12375.88
2014-10-08,4354.86,8000.0,12354.86
2014-10-09,4401.02,8000.0,12401.02
2014-10-10,4323.25,8000.0,12323.25
2014-10-13,4345.17,8000.0,12345.17
2014-10-14,4315.33,8000.0,12315.33
2014-10-16,4217.61,8000.0,12217.61
2014-10-17,4186.64,8000.0,12186.64
2014-10-20,4213.95,8000.0,12213.95
2014-10-21,4256.61,8000.0,12256.61
2014-10-22,4306.68,8000.0,12306.68
2014-10-23,4306.68,8000.0,12306.68
2014-10-27,4292.18,8000.0,12292.18
2014-10-28,4253.25,8000.0,12253.25
2014-10-29,4293.13,8000.0,12293.13
2014-10-30,4339.06,8000.0,12339.06
2014-10-31,4358.92,8000.0,12358.92
2014-11-03,5418.22,7000.0,12418.22
2014-11-05,5433.49,7000.0,12433.49
2014-11-07,5489.39,7000.0,12489.39
2014-11-10,5473.86,7000.0,12473.86
2014-11-11,5509.6,7000.0,12509.6
2014-11-12,5557.12,7000.0,12557.12
2014-11-13,5530.81,7000.0,12530.81
2014-11-14,5458.88,7000.0,12458.88
2014-11-17,5470.55,7000.0,12470.55
2014-11-18,5491.28,7000.0,12491.28
2014-11-19,5549.07,7000.0,12549.07
2014-11-20,5534.22,7000.0,12534.22
2014-11-21,5550.83,7000.0,12550.83
2014-11-24,5521.15,7000.0,12521.15
2014-11-25,5456.35,7000.0,12456.35
2014-11-26,5462.43,7000.0,12462.43
2014-11-27,5509.34,7000.0,12509.34
2014-11-28,5556.37,7000.0,12556.37
2014-12-01,6579.64,6000.0,12579.64
2014-12-02,6581.04,6000.0,12581.04
2014-12-03,6614.45,6000.0,12614.45
2014-12-04,6681.59,6000.0,12681.59
2014-12-05,6645.54,6000.0,12645.54
2014-12-08,6549.75,6000.0,12549.75
2014-12-09,6466.05,6000.0,12466.05
2014-12-10,6492.71,6000.0,12492.71
2014-12-11,6479.35,6000.0,12479.35
2014-12-12,6481.19,6000.0,12481.19
2014-12-15,6456.09,6000.0,12456.09
2014-12-16,6310.43,6000.0,12310.43
2014-12-17,6192.58,6000.0,12192.58
2014-12-18,6323.6,6000.0,12323.6
2014-12-19,6338.86,6000.0,12338.86
2014-12-22,6395.62,6000.0,12395.62
2014-12-23,6410.51,6000.0,12410.51
2014-12-24,6390.51,6000.0,12390.51
2014-12-26,6455.22,6000.0,12455.22
2014-12-29,6473.88,6000.0,12473.88
2014-12-30,6498.57,6000.0,12498.57
2014-12-31,6528.08,6000.0,12528.08
2015-01-01,7545.83,5000.0,12545.83
2015-01-02,7624.3,5000.0,12624.3
2015-01-05,7622.47,5000.0,12622.47
2015-01-06,7431.35,5000.0,12431.35
2015-01-07,7441.63,5000.0,12441.63
2015-01-08,7546.43,5000.0,12546.43
2015-01-09,7639.77,5000.0,12639.77
2015-01-12,7639.57,5000.0,12639.57
2015-01-13,7698.09,5000.0,12698.09
2015-01-14,7712.38,5000.0,12712.38
2015-01-15,7760.67,5000.0,12760.67
2015-01-16,7755.88,5000.0,12755.88
2015-01-19,7764.41,5000.0,12764.41
2015-01-20,7846.48,5000.0,12846.48
2015-01-21,7857.52,5000.0,12857.52
2015-01-22,7894.59,5000.0,12894.59
2015-01-23,7833.71,5000.0,12833.71
2015-01-27,7851.58,5000.0,12851.58
2015-01-28,7981.29,5000.0,12981.29
2015-01-29,7977.8,5000.0,12977.8
2015-01-30,7923.15,5000.0,12923.15
2015-02-02,8941.49,4000.0,12941.49
2015-02-03,8974.54,4000.0,12974.54
2015-02-04,8925.2,4000.0,12925.2
2015-02-05,8927.93,4000.0,12927.93
2015-02-06,8829.88,4000.0,12829.88
2015-02-09,8774.42,4000.0,12774.42
2015-02-10,8829.06,4000.0,12829.06
2015-02-11,8934.78,4000.0,12934.78
2015-02-12,9050.36,4000.0,13050.36
2015-02-13,9151.45,4000.0,13151.45
2015-02-16,9131.67,4000.0,13131.67
2015-02-18,9203.41,4000.0,13203.41
2015-02-19,9132.54,4000.0,13132.54
2015-02-20,9130.85,4000.0,13130.85
2015-02-23,9073.42,4000.0,13073.42
2015-02-24,9083.42,4000.0,13083.42
2015-02-25,9121.11,4000.0,13121.11
2015-02-26,9029.95,4000.0,13029.95
2015-02-27,9119.38,4000.0,13119.38
