Month,Date,Investment,Portfolio_Value,Bank,Equity,Holdings
Jul 2014,2014-07-01,1000.0,1000.0,11000.0,12000.0,"[{'Ticker': 'KSCL.NS', 'Quantity': 0.219255}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.468033}, {'Ticker': 'KKCL.NS', 'Quantity': 0.494457}, {'Ticker': 'ATUL.NS', 'Quantity': 0.187319}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.381028}, {'Ticker': 'WHIRLPOOL.NS', 'Quantity': 0.495442}]"
Aug 2014,2014-08-01,1000.0,2051.73,10000.0,12051.73,"[{'Ticker': 'KSCL.NS', 'Quantity': 0.457078}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.468033}, {'Ticker': 'KKCL.NS', 'Quantity': 0.980153}, {'Ticker': 'ATUL.NS', 'Quantity': 0.330196}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 0.754262}, {'Ticker': 'WHIRLPOOL.NS', 'Quantity': 0.994967}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 2.021918}]"
Sep 2014,2014-09-01,1000.0,3369.47,9000.0,12369.47,"[{'Ticker': 'KSCL.NS', 'Quantity': 0.644439}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.468033}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'ATUL.NS', 'Quantity': 0.452592}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.138311}, {'Ticker': 'WHIRLPOOL.NS', 'Quantity': 1.358432}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 3.857858}]"
Oct 2014,2014-10-01,1000.0,4490.18,8000.0,12490.18,"[{'Ticker': 'KSCL.NS', 'Quantity': 0.844076}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.468033}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'ATUL.NS', 'Quantity': 0.573221}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.499186}, {'Ticker': 'WHIRLPOOL.NS', 'Quantity': 1.742545}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 5.206949}, {'Ticker': 'ASTRAL.NS', 'Quantity': 0.929644}]"
Nov 2014,2014-11-03,1000.0,5683.02,7000.0,12683.02,"[{'Ticker': 'KSCL.NS', 'Quantity': 1.023066}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.468033}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'ATUL.NS', 'Quantity': 0.698624}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 1.826754}, {'Ticker': 'WHIRLPOOL.NS', 'Quantity': 1.742545}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 6.570833}, {'Ticker': 'ASTRAL.NS', 'Quantity': 1.972794}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.555556}]"
Dec 2014,2014-12-01,1000.0,7167.78,6000.0,13167.78,"[{'Ticker': 'KSCL.NS', 'Quantity': 1.218661}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 0.767538}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'ATUL.NS', 'Quantity': 0.829821}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.086117}, {'Ticker': 'WHIRLPOOL.NS', 'Quantity': 1.742545}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 7.968457}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.806023}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.555556}]"
Jan 2015,2015-01-01,1000.0,8159.56,5000.0,13159.56,"[{'Ticker': 'KSCL.NS', 'Quantity': 1.432131}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.058531}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'ATUL.NS', 'Quantity': 0.951073}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.351161}, {'Ticker': 'WHIRLPOOL.NS', 'Quantity': 1.742545}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 9.343822}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.806023}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 0.555556}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}]"
Feb 2015,2015-02-02,1000.0,9318.88,4000.0,13318.88,"[{'Ticker': 'KSCL.NS', 'Quantity': 1.432131}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.352321}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'ATUL.NS', 'Quantity': 1.076807}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.597268}, {'Ticker': 'WHIRLPOOL.NS', 'Quantity': 1.742545}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 10.642658}, {'Ticker': 'ASTRAL.NS', 'Quantity': 2.806023}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.012897}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 1.255887}]"
Mar 2015,2015-03-02,1000.0,11035.89,3000.0,14035.89,"[{'Ticker': 'KSCL.NS', 'Quantity': 1.432131}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.352321}, {'Ticker': 'KKCL.NS', 'Quantity': 1.444367}, {'Ticker': 'ATUL.NS', 'Quantity': 1.205931}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 2.81032}, {'Ticker': 'WHIRLPOOL.NS', 'Quantity': 1.742545}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 11.797819}, {'Ticker': 'ASTRAL.NS', 'Quantity': 3.648731}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.418857}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 2.508123}]"
Apr 2015,2015-04-01,1000.0,12196.28,2000.0,14196.28,"[{'Ticker': 'KSCL.NS', 'Quantity': 1.432131}, {'Ticker': 'TORNTPHARM.NS', 'Quantity': 1.631144}, {'Ticker': 'KKCL.NS', 'Quantity': 1.837014}, {'Ticker': 'ATUL.NS', 'Quantity': 1.350475}, {'Ticker': 'AJANTPHARM.NS', 'Quantity': 3.014685}, {'Ticker': 'WHIRLPOOL.NS', 'Quantity': 1.742545}, {'Ticker': 'ZENSARTECH.NS', 'Quantity': 13.024843}, {'Ticker': 'ASTRAL.NS', 'Quantity': 3.648731}, {'Ticker': 'KAJARIACER.NS', 'Quantity': 1.843864}, {'Ticker': 'IGL.NS', 'Quantity': 3.691808}, {'Ticker': 'BERGEPAINT.NS', 'Quantity': 2.508123}]"
