Date,Portfolio_Value,Bank,Month,Equity,momentum,ValueMomentum,VM
2014-07-01,1000.0,11000.0,Jul 2014,12000.0,12000.0,24000.0,1.0
2014-07-02,1005.61,11000.0,Jul 2014,12005.61,12028.976517787247,24034.586517787247,1.001441104907802
2014-07-03,997.38,11000.0,Jul 2014,11997.38,12047.695677246706,24045.075677246707,1.0018781532186127
2014-07-04,991.05,11000.0,Jul 2014,11991.05,12063.203747739804,24054.253747739804,1.0022605728224918
2014-07-07,982.58,11000.0,Jul 2014,11982.58,12066.931946916407,24049.511946916406,1.0020629977881836
2014-07-08,969.0,11000.0,Jul 2014,11969.0,12027.675553739378,23996.675553739376,0.9998614814058073
2014-07-09,961.97,11000.0,Jul 2014,11961.97,12027.59087270748,23989.56087270748,0.9995650363628117
2014-07-10,923.24,11000.0,Jul 2014,11923.24,12028.99580671996,23952.23580671996,0.9980098252799984
2014-07-11,926.2,11000.0,Jul 2014,11926.2,12003.762279259265,23929.962279259264,0.9970817616358026
2014-07-14,921.09,11000.0,Jul 2014,11921.09,12006.861760945874,23927.951760945874,0.9969979900394115
2014-07-15,940.38,11000.0,Jul 2014,11940.38,12025.747988798996,23966.127988798995,0.9985886661999581
2014-07-16,956.87,11000.0,Jul 2014,11956.87,12036.152298701634,23993.022298701635,0.9997092624459014
2014-07-17,977.34,11000.0,Jul 2014,11977.34,12064.392971461619,24041.73297146162,1.0017388738109008
2014-07-18,978.67,11000.0,Jul 2014,11978.67,12056.539962291954,24035.209962291956,1.001467081762165
2014-07-21,982.24,11000.0,Jul 2014,11982.24,12057.619203238393,24039.859203238393,1.001660800134933
2014-07-22,988.76,11000.0,Jul 2014,11988.76,12069.207701159316,24057.967701159316,1.0024153208816382
2014-07-23,995.89,11000.0,Jul 2014,11995.89,12102.218823073099,24098.108823073097,1.0040878676280456
2014-07-24,993.47,11000.0,Jul 2014,11993.47,12128.376894873196,24121.846894873197,1.00507695395305
2014-07-25,985.46,11000.0,Jul 2014,11985.46,12094.645153970832,24080.10515397083,1.0033377147487847
2014-07-28,1101.66,11000.0,Jul 2014,12101.66,12073.273614033687,24174.93361403369,1.007288900584737
2014-07-30,1106.83,11000.0,Jul 2014,12106.83,12060.59206292592,24167.42206292592,1.00697591928858
2014-07-31,1108.95,11000.0,Jul 2014,12108.95,12067.282324475473,24176.232324475473,1.0073430135198114
2014-08-01,2105.43,10000.0,Aug 2014,12105.43,12056.574374465034,24162.004374465032,1.0067501822693763
2014-08-04,2116.88,10000.0,Aug 2014,12116.88,12080.346067648377,24197.22606764838,1.0082177528186824
2014-08-05,2104.3,10000.0,Aug 2014,12104.3,12136.328535797455,24240.628535797456,1.0100261889915607
2014-08-06,2095.43,10000.0,Aug 2014,12095.43,12125.213747615713,24220.643747615715,1.0091934894839882
2014-08-07,2085.37,10000.0,Aug 2014,12085.37,12125.893778369818,24211.26377836982,1.0088026574320759
2014-08-08,2055.38,10000.0,Aug 2014,12055.38,12092.80178165977,24148.18178165977,1.0061742409024903
2014-08-11,2081.06,10000.0,Aug 2014,12081.06,12107.567897932347,24188.627897932347,1.0078594957471811
2014-08-12,2070.0,10000.0,Aug 2014,12070.0,12134.579398981867,24204.579398981867,1.0085241416242445
2014-08-13,2007.2,10000.0,Aug 2014,12007.2,12133.10084814055,24140.30084814055,1.005845868672523
2014-08-14,2033.7,10000.0,Aug 2014,12033.7,12154.558591961244,24188.258591961247,1.0078441079983853
2014-08-18,2057.51,10000.0,Aug 2014,12057.51,12193.653229678019,24251.16322967802,1.0104651345699174
2014-08-19,2050.84,10000.0,Aug 2014,12050.84,12245.859995687413,24296.699995687413,1.012362499820309
2014-08-20,2045.22,10000.0,Aug 2014,12045.22,12280.360863290109,24325.58086329011,1.0135658693037546
2014-08-21,2057.08,10000.0,Aug 2014,12057.08,12308.416884775872,24365.496884775872,1.0152290368656613
2014-08-22,2054.1,10000.0,Aug 2014,12054.1,12302.388241122488,24356.48824112249,1.014853676713437
2014-08-25,2054.81,10000.0,Aug 2014,12054.81,12288.745669713582,24343.555669713583,1.0143148195713994
2014-08-26,2054.21,10000.0,Aug 2014,12054.21,12327.695899080274,24381.905899080273,1.0159127457950115
2014-08-27,2044.77,10000.0,Aug 2014,12044.77,12383.706605870526,24428.476605870528,1.017853191911272
2014-08-28,2056.78,10000.0,Aug 2014,12056.78,12344.952025557193,24401.732025557194,1.0167388343982164
2014-09-01,3105.94,9000.0,Sep 2014,12105.94,12351.078973038557,24457.018973038557,1.01904245720994
2014-09-02,3114.66,9000.0,Sep 2014,12114.66,12349.244582720738,24463.904582720737,1.019329357613364
2014-09-03,3133.09,9000.0,Sep 2014,12133.09,12387.45428194416,24520.54428194416,1.0216893450810067
2014-09-04,3150.5,9000.0,Sep 2014,12150.5,12372.810968950846,24523.310968950846,1.0218046237062852
2014-09-05,3182.75,9000.0,Sep 2014,12182.75,12369.556624012857,24552.306624012857,1.0230127760005356
2014-09-08,3226.6,9000.0,Sep 2014,12226.6,12475.319447081534,24701.919447081535,1.0292466436283974
2014-09-09,3244.84,9000.0,Sep 2014,12244.84,12497.232945066495,24742.072945066495,1.0309197060444373
2014-09-10,3236.17,9000.0,Sep 2014,12236.17,12488.351869448434,24724.521869448436,1.030188411227018
2014-09-11,3263.19,9000.0,Sep 2014,12263.19,12489.710217752805,24752.900217752805,1.031370842406367
2014-09-12,3301.12,9000.0,Sep 2014,12301.12,12526.263235590937,24827.38323559094,1.0344743014829558
2014-09-15,3306.47,9000.0,Sep 2014,12306.47,12518.808619518833,24825.27861951883,1.034386609146618
2014-09-16,3248.39,9000.0,Sep 2014,12248.39,12420.298528099705,24668.688528099705,1.0278620220041543
2014-09-17,3224.12,9000.0,Sep 2014,12224.12,12423.614103593072,24647.734103593073,1.0269889209830447
2014-09-18,3264.9,9000.0,Sep 2014,12264.9,12494.36573812742,24759.26573812742,1.0316360724219757
2014-09-19,3309.32,9000.0,Sep 2014,12309.32,12497.232499991467,24806.552499991467,1.0336063541663112
2014-09-22,3309.75,9000.0,Sep 2014,12309.75,12518.942012976013,24828.69201297601,1.0345288338740004
2014-09-23,3272.54,9000.0,Sep 2014,12272.54,12453.730347820441,24726.270347820442,1.0302612644925184
2014-09-24,3254.17,9000.0,Sep 2014,12254.17,12416.568121570046,24670.738121570044,1.0279474217320852
2014-09-25,3220.89,9000.0,Sep 2014,12220.89,12332.935695486754,24553.825695486754,1.0230760706452815
2014-09-26,3228.7,9000.0,Sep 2014,12228.7,12354.358209606957,24583.058209606956,1.0242940920669565
2014-09-29,3257.76,9000.0,Sep 2014,12257.76,12383.348441578473,24641.10844157847,1.0267128517324364
2014-09-30,3280.21,9000.0,Sep 2014,12280.21,12414.014382924423,24694.22438292442,1.0289260159551843
2014-10-01,4315.78,8000.0,Oct 2014,12315.78,12409.48166582611,24725.26166582611,1.030219236076088
